series_title,series_season_num,series_episode_num,season_episode_num,episode_title,episode_director,episode_writers,episode_release_date,episode_prod_code,episode_us_viewers_mm
Star Wars: The Clone Wars,1,1,1,Ambush,Dave Bullock,Steven Melching,"October 3, 2008",1.08,3.99
Star Wars: The Clone Wars,1,2,2,Rising Malevolence,Dave Filoni,Steven Melching,"October 3, 2008",1.07,4.92
Star Wars: The Clone Wars,1,3,3,Shadow of Malevolence,Brian Kalin O'Connell,Steven Melching,"October 10, 2008",1.09,2.8
Star Wars: The Clone Wars,1,4,4,Destroy Malevolence,Brian Kalin O'Connell,Steven Melching,"October 17, 2008",1.11,
Star Wars: The Clone Wars,1,5,5,Rookies,Justin Ridge,Steven Melching,"October 24, 2008",1.14,
Star Wars: The Clone Wars,1,6,6,Downfall of a Droid,Rob Coleman,George Krstic,"November 7, 2008",1.02,
Star Wars: The Clone Wars,1,7,7,Duel of the Droids,Rob Coleman,"Kevin Campbell, Henry Gilroy","November 14, 2008",1.06,
Star Wars: The Clone Wars,1,8,8,Bombad Jedi,Jesse Yeh,"Kevin Rubio, Steven Melching, Henry Gilroy","November 21, 2008",1.05,2.77
Star Wars: The Clone Wars,1,9,9,Cloak of Darkness,Dave Filoni,Paul Dini,"December 5, 2008",1.10,1.95
Star Wars: The Clone Wars,1,10,10,Lair of Grievous,Atsushi Takeuchi,Henry Gilroy,"December 12, 2008",1.12,2.14
Star Wars: The Clone Wars,1,11,11,Dooku Captured,Jesse Yeh,Julie Siege,"January 2, 2009",1.16,
Star Wars: The Clone Wars,1,12,12,The Gungan General,Justin Ridge,Julie Siege,"January 9, 2009",1.20,2.31
Star Wars: The Clone Wars,1,13,13,Jedi Crash,Rob Coleman,Katie Lucas,"January 16, 2009",1.22,2.35
Star Wars: The Clone Wars,1,14,14,Defenders of Peace,Steward Lee,Bill Canterbury,"January 23, 2009",1.24,2.17
Star Wars: The Clone Wars,1,15,15,Trespass,Brian Kalin O'Connell,Steven Melching,"January 30, 2009",1.25,2.62
Star Wars: The Clone Wars,1,16,16,The Hidden Enemy,Steward Lee,Drew Z. Greenberg,"February 6, 2009",2.01,2.51
Star Wars: The Clone Wars,1,17,17,Blue Shadow Virus,Giancarlo Volpe,Craig Titley,"February 13, 2009",1.26,2.94
Star Wars: The Clone Wars,1,18,18,Mystery of a Thousand Moons,Jesse Yeh,Brian Larsen,"February 13, 2009",2.02,2.11
Star Wars: The Clone Wars,1,19,19,Storm Over Ryloth,Brian Kalin O'Connell,"George Krstic, Scott Murphy, Henry Gilroy","February 27, 2009",1.15,2.37
Star Wars: The Clone Wars,1,20,20,Innocents of Ryloth,Justin Ridge,"Randy Stradley, Henry Gilroy","March 6, 2009",1.17,2.49
Star Wars: The Clone Wars,1,21,21,Liberty on Ryloth,Rob Coleman,Henry Gilroy,"March 13, 2009",1.19,3.01
Star Wars: The Clone Wars,1,22,22,Hostage Crisis,Giancarlo Volpe,Eoghan Mahony,"March 20, 2009",2.04,3.29
Star Wars: The Clone Wars,2,23,1,Holocron Heist,Justin Ridge,Paul Dini,"October 2, 2009",1.23,2.58
Star Wars: The Clone Wars,2,24,2,Cargo of Doom,Rob Coleman,George Krstic,"October 2, 2009",1.13,2.58
Star Wars: The Clone Wars,2,25,3,Children of the Force,Brian Kalin O'Connell,"Henry Gilroy, Wendy Meracle","October 9, 2009",2.03,2.8
Star Wars: The Clone Wars,2,26,4,Senate Spy,Steward Lee,Melinda Hsu,"October 16, 2009",2.05,
Star Wars: The Clone Wars,2,27,5,Landing at Point Rain,Brian Kalin O'Connell,Brian Larsen,"November 6, 2009",2.07,
Star Wars: The Clone Wars,2,28,6,Weapons Factory,Giancarlo Volpe,Brian Larsen,"November 13, 2009",2.08,
Star Wars: The Clone Wars,2,29,7,Legacy of Terror,Steward Lee,Eoghan Mahony,"November 20, 2009",2.09,
Star Wars: The Clone Wars,2,30,8,Brain Invaders,Steward Lee,Andrew Kreisberg,"December 4, 2009",2.12,
Star Wars: The Clone Wars,2,31,9,Grievous Intrigue,Giancarlo Volpe,Ben Edlund,"January 1, 2010",2.14,
Star Wars: The Clone Wars,2,32,10,The Deserter,Robert Dalva,Carl Ellsworth,"January 1, 2010",2.06,
Star Wars: The Clone Wars,2,33,11,Lightsaber Lost,Giancarlo Volpe,Drew Z. Greenberg,"January 22, 2010",2.11,
Star Wars: The Clone Wars,2,34,12,The Mandalore Plot,Kyle Dunlevy,Melinda Hsu,"January 29, 2010",2.13,
Star Wars: The Clone Wars,2,35,13,Voyage of Temptation,Brian Kalin O'Connell,Paul Dini,"February 5, 2010",1.21,
Star Wars: The Clone Wars,2,36,14,Duchess of Mandalore,Brian Kalin O'Connell,Drew Z. Greenberg,"February 12, 2010",2.16,
Star Wars: The Clone Wars,2,37,15,Senate Murders,Brian Kalin O'Connell,Drew Z. Greenberg,"March 12, 2010",2.10,
Star Wars: The Clone Wars,2,38,16,Cat and Mouse,Kyle Dunlevy,Brian Larsen,"March 20, 2010",2.17,2.02
Star Wars: The Clone Wars,2,39,17,Bounty Hunters,Steward Lee,Carl Ellsworth,"March 27, 2010",2.19,
Star Wars: The Clone Wars,2,40,18,The Zillo Beast,Giancarlo Volpe,Craig Titley,"April 3, 2010",2.22,
Star Wars: The Clone Wars,2,41,19,The Zillo Beast Strikes Back,Steward Lee,Steven Melching,"April 10, 2010",2.23,
Star Wars: The Clone Wars,2,42,20,Death Trap,Steward Lee,Doug Petrie,"April 17, 2010",2.15,2.85
Star Wars: The Clone Wars,2,43,21,R2 Come Home,Giancarlo Volpe,Eoghan Mahony,"April 24, 2010",2.18,2.76
Star Wars: The Clone Wars,2,44,22,Lethal Trackdown,Dave Filoni,"Dave Filoni, Drew Z. Greenberg","April 30, 2010",2.20,2.76
Star Wars: The Clone Wars,3,45,1,Clone Cadets,Dave Filoni,Cameron Litvack,"September 17, 2010",3.01,2.42
Star Wars: The Clone Wars,3,46,2,ARC Troopers,Kyle Dunlevy,Cameron Litvack,"September 17, 2010",3.02,2.42
Star Wars: The Clone Wars,3,47,3,Supply Lines,Brian Kalin O'Connell,"Steven Melching, Eoghan Mahony","September 24, 2010",2.24,1.69
Star Wars: The Clone Wars,3,48,4,Sphere of Influence,Kyle Dunlevy,"Katie Lucas, Steven Melching","October 1, 2010",2.25,1.88
Star Wars: The Clone Wars,3,49,5,Corruption,Giancarlo Volpe,Cameron Litvack,"October 8, 2010",3.04,1.78
Star Wars: The Clone Wars,3,50,6,The Academy,Giancarlo Volpe,"Katie Lucas, Steven Melching","October 15, 2010",2.26,1.79
Star Wars: The Clone Wars,3,51,7,Assassin,Kyle Dunlevy,Katie Lucas,"October 22, 2010",2.21,1.85
Star Wars: The Clone Wars,3,52,8,Evil Plans,Brian Kalin O'Connell,"Steve Mitchell, Craig Van Sickle","November 5, 2010",3.03,1.84
Star Wars: The Clone Wars,3,53,9,Hunt for Ziro,Steward Lee,"Steve Mitchell, Craig Van Sickle","November 12, 2010",3.05,1.76
Star Wars: The Clone Wars,3,54,10,Heroes on Both Sides,Kyle Dunlevy,Daniel Arkin,"November 19, 2010",3.06,1.75
Star Wars: The Clone Wars,3,55,11,Pursuit of Peace,Duwayne Dunham,Daniel Arkin,"December 3, 2010",3.07,1.61
Star Wars: The Clone Wars,3,56,12,Nightsisters,Giancarlo Volpe,Katie Lucas,"January 7, 2011",3.08,1.86
Star Wars: The Clone Wars,3,57,13,Monster,Kyle Dunlevy,Katie Lucas,"January 14, 2011",3.1,
Star Wars: The Clone Wars,3,58,14,Witches of the Mist,Giancarlo Volpe,Katie Lucas,"January 21, 2011",3.12,2.21
Star Wars: The Clone Wars,3,59,15,Overlords,Steward Lee,Christian Taylor,"January 28, 2011",3.09,1.74
Star Wars: The Clone Wars,3,60,16,Altar of Mortis,Brian Kalin O'Connell,Christian Taylor,"February 4, 2011",3.11,2.29
Star Wars: The Clone Wars,3,61,17,Ghosts of Mortis,Steward Lee,Christian Taylor,"February 11, 2011",3.13,2.24
Star Wars: The Clone Wars,3,62,18,The Citadel,Kyle Dunlevy,Matt Michnovetz,"February 18, 2011",3.14,1.84
Star Wars: The Clone Wars,3,63,19,Counter Attack,Brian Kalin O'Connell,Matt Michnovetz,"March 4, 2011",3.15,1.87
Star Wars: The Clone Wars,3,64,20,Citadel Rescue,Steward Lee,Matt Michnovetz,"March 11, 2011",3.17,1.55
Star Wars: The Clone Wars,3,65,21,Padawan Lost,Dave Filoni,Bonnie Mark,"April 1, 2011",3.16,2.31
Star Wars: The Clone Wars,3,66,22,Wookiee Hunt,Dave Filoni,Bonnie Mark,"April 1, 2011",3.18,2.31
Star Wars: The Clone Wars,4,67,1,Water War,Duwayne Dunham,Jose Molina,"September 16, 2011",3.22,1.93
Star Wars: The Clone Wars,4,68,2,Gungan Attack,Brian Kalin O'Connell,Jose Molina,"September 16, 2011",3.23,1.93
Star Wars: The Clone Wars,4,69,3,Prisoners,Danny Keller,Jose Molina,"September 23, 2011",3.24,1.61
Star Wars: The Clone Wars,4,70,4,Shadow Warrior,Brian Kalin O'Connell,Daniel Arkin,"September 30, 2011",3.19,1.56
Star Wars: The Clone Wars,4,71,5,Mercy Mission,Danny Keller,Bonnie Mark,"October 7, 2011",3.2,1.35
Star Wars: The Clone Wars,4,72,6,Nomad Droids,Steward Lee,"Steve Mitchell, Craig Van Sickle","October 14, 2011",3.21,1.67
Star Wars: The Clone Wars,4,73,7,Darkness on Umbara,Steward Lee,Matt Michnovetz,"October 28, 2011",3.25,1.78
Star Wars: The Clone Wars,4,74,8,The General,Walter Murch,Matt Michnovetz,"November 4, 2011",3.26,1.56
Star Wars: The Clone Wars,4,75,9,Plan of Dissent,Kyle Dunlevy,Matt Michnovetz,"November 11, 2011",4.01,1.8
Star Wars: The Clone Wars,4,76,10,Carnage of Krell,Kyle Dunlevy,Matt Michnovetz,"November 18, 2011",4.02,1.62
Star Wars: The Clone Wars,4,77,11,Kidnapped,Kyle Dunlevy,Henry Gilroy,"November 25, 2011",4.03,1.57
Star Wars: The Clone Wars,4,78,12,Slaves of the Republic,Brian Kalin O'Connell,Henry Gilroy,"December 2, 2011",4.04,1.37
Star Wars: The Clone Wars,4,79,13,Escape from Kadavo,Danny Keller,Henry Gilroy,"January 6, 2012",4.05,1.39
Star Wars: The Clone Wars,4,80,14,A Friend in Need,Dave Filoni,Christian Taylor,"January 13, 2012",4.06,1.51
Star Wars: The Clone Wars,4,81,15,Deception,Kyle Dunlevy,Brent Friedman,"January 20, 2012",4.07,2.12
Star Wars: The Clone Wars,4,82,16,Friends and Enemies,Bosco Ng,Brent Friedman,"January 27, 2012",4.08,1.62
Star Wars: The Clone Wars,4,83,17,The Box,Brian Kalin O'Connell,Brent Friedman,"February 3, 2012",4.09,1.8
Star Wars: The Clone Wars,4,84,18,Crisis on Naboo,Danny Keller,Brent Friedman,"February 10, 2012",4.1,1.86
Star Wars: The Clone Wars,4,85,19,Massacre,Steward Lee,Katie Lucas,"February 24, 2012",4.11,1.46
Star Wars: The Clone Wars,4,86,20,Bounty,Kyle Dunlevy,Katie Lucas,"March 2, 2012",4.12,2.07
Star Wars: The Clone Wars,4,87,21,Brothers,Bosco Ng,Katie Lucas,"March 9, 2012",4.13,1.99
Star Wars: The Clone Wars,4,88,22,Revenge,Brian Kalin O'Connell,Katie Lucas,"March 16, 2012",4.14,2.03
Star Wars: The Clone Wars,5,89,1,Revival,Steward Lee,Chris Collins,"September 29, 2012",4.26,1.94
Star Wars: The Clone Wars,5,90,2,A War on Two Fronts,Dave Filoni,Chris Collins,"October 6, 2012",4.15,1.71
Star Wars: The Clone Wars,5,91,3,Front Runners,Steward Lee,Chris Collins,"October 13, 2012",4.16,1.75
Star Wars: The Clone Wars,5,92,4,The Soft War,Kyle Dunlevy,Chris Collins,"October 20, 2012",4.17,1.57
Star Wars: The Clone Wars,5,93,5,Tipping Points,Bosco Ng,Chris Collins,"October 27, 2012",4.18,1.42
Star Wars: The Clone Wars,5,94,6,The Gathering,Kyle Dunlevy,Christian Taylor,"November 3, 2012",4.22,1.66
Star Wars: The Clone Wars,5,95,7,A Test of Strength,Bosco Ng,Christian Taylor,"November 10, 2012",4.23,1.74
Star Wars: The Clone Wars,5,96,8,Bound for Rescue,Brian Kalin O'Connell,Christian Taylor,"November 17, 2012",4.24,1.96
Star Wars: The Clone Wars,5,97,9,A Necessary Bond,Danny Keller,Christian Taylor,"November 24, 2012",4.25,1.39
Star Wars: The Clone Wars,5,98,10,Secret Weapons,Danny Keller,Brent Friedman,"December 1, 2012",5.04,1.46
Star Wars: The Clone Wars,5,99,11,A Sunny Day in the Void,Kyle Dunlevy,Brent Friedman,"December 8, 2012",5.05,1.43
Star Wars: The Clone Wars,5,100,12,Missing in Action,Steward Lee,Brent Friedman,"January 5, 2013",5.06,1.74
Star Wars: The Clone Wars,5,101,13,Point of No Return,Bosco Ng,Brent Friedman,"January 12, 2013",5.07,1.47
Star Wars: The Clone Wars,5,102,14,Eminence,Kyle Dunlevy,Chris Collins,"January 19, 2013",5.01,1.85
Star Wars: The Clone Wars,5,103,15,Shades of Reason,Bosco Ng,Chris Collins,"January 26, 2013",5.02,1.83
Star Wars: The Clone Wars,5,104,16,The Lawless,Brian Kalin O'Connell,Chris Collins,"February 2, 2013",5.03,1.86
Star Wars: The Clone Wars,5,105,17,Sabotage,Brian Kalin O'Connell,Charles Murray,"February 9, 2013",5.08,2.02
Star Wars: The Clone Wars,5,106,18,The Jedi Who Knew Too Much,Danny Keller,Charles Murray,"February 16, 2013",5.09,1.64
Star Wars: The Clone Wars,5,107,19,To Catch a Jedi,Kyle Dunlevy,Charles Murray,"February 23, 2013",5.1,2.06
Star Wars: The Clone Wars,5,108,20,The Wrong Jedi,Dave Filoni,Charles Murray,"March 2, 2013",5.11,2.18
Star Wars: The Clone Wars,6,109,1,The Unknown,Bosco Ng,Katie Lucas,"March 7, 2014",5.12,
Star Wars: The Clone Wars,6,110,2,Conspiracy,Brian Kalin O'Connell,Katie Lucas,"March 7, 2014",5.13,
Star Wars: The Clone Wars,6,111,3,Fugitive,Danny Keller,Katie Lucas,"March 7, 2014",5.14,
Star Wars: The Clone Wars,6,112,4,Orders,Kyle Dunlevy,Katie Lucas,"March 7, 2014",5.15,
Star Wars: The Clone Wars,6,113,5,An Old Friend,Brian Kalin O'Connell,Christian Taylor,"March 7, 2014",4.19,
Star Wars: The Clone Wars,6,114,6,The Rise of Clovis,Danny Keller,Christian Taylor,"March 7, 2014",4.2,
Star Wars: The Clone Wars,6,115,7,Crisis at the Heart,Steward Lee,Christian Taylor,"March 7, 2014",4.21,
Star Wars: The Clone Wars,6,116,8,"The Disappeared, Part I",Steward Lee,Jonathan W. Rinzler,"March 7, 2014",5.16,
Star Wars: The Clone Wars,6,117,9,"The Disappeared, Part II",Bosco Ng,Jonathan W. Rinzler,"March 7, 2014",5.17,
Star Wars: The Clone Wars,6,118,10,The Lost One,Brian Kalin O'Connell,Christian Taylor,"March 7, 2014",5.18,
Star Wars: The Clone Wars,6,119,11,Voices,Danny Keller,Christian Taylor,"March 7, 2014",5.19,
Star Wars: The Clone Wars,6,120,12,Destiny,Kyle Dunlevy,Christian Taylor,"March 7, 2014",5.2,
Star Wars: The Clone Wars,6,121,13,Sacrifice,Steward Lee,Christian Taylor,"March 7, 2014",5.21,
Star Wars: The Clone Wars,7,122,1,The Bad Batch,Kyle Dunlevy,"Matt Michnovetz, Brent Friedman","February 21, 2020",6.09,
Star Wars: The Clone Wars,7,123,2,A Distant Echo,Steward Lee,"Matt Michnovetz, Dave Filoni, Brent Friedman","February 28, 2020",6.1,
Star Wars: The Clone Wars,7,124,3,On the Wings of Keeradaks,Bosco Ng,"Matt Michnovetz, Brent Friedman","March 6, 2020",6.11,
Star Wars: The Clone Wars,7,125,4,Unfinished Business,Brian Kalin O'Connell,"Matt Michnovetz, Brent Friedman","March 13, 2020",6.12,
Star Wars: The Clone Wars,7,126,5,Gone with a Trace,"Saul Ruiz, Kyle Dunlevy","Dave Filoni, Charles Murray","March 20, 2020",6.05,
Star Wars: The Clone Wars,7,127,6,Deal No Deal,"Nathaniel Villanueva, Steward Lee","Dave Filoni, Charles Murray","March 27, 2020",6.06,
Star Wars: The Clone Wars,7,128,7,Dangerous Debt,"Saul Ruiz, Bosco Ng","Dave Filoni, Charles Murray","April 3, 2020",6.07,
Star Wars: The Clone Wars,7,129,8,Together Again,Nathaniel Villanueva,"Dave Filoni, Charles Murray","April 10, 2020",6.08,
Star Wars: The Clone Wars,7,130,9,Old Friends Not Forgotten,Saul Ruiz,Dave Filoni,"April 17, 2020",7.21,
Star Wars: The Clone Wars,7,131,10,The Phantom Apprentice,Nathaniel Villanueva,Dave Filoni,"April 24, 2020",7.22,
Star Wars: The Clone Wars,7,132,11,Shattered,Saul Ruiz,Dave Filoni,"May 1, 2020",7.23,
Star Wars: The Clone Wars,7,133,12,Victory and Death,Nathaniel Villanueva,Dave Filoni,"May 4, 2020",7.24,
Star Wars: The Clone Wars,7,134,13,The Lecturers,Anthony Whyte,"Anthony Whyte, Chris Teplovs","May 7, 2020",7.25,4.92
